screen_name,id_user,tweet_when,tweet_id,text,location
homdeylabender,1264745515633250304,Fri Jul 24 23:59:59 +0000 2020,1286813410622091266,RT @sapphnap: dream talking shit when he is a youtuber like hello????,nowhere i'm not.
transjotaros,1246073194936594432,Fri Jul 24 23:59:59 +0000 2020,1286813409619652608,"RT @siof_art: Hello I am here to break your heart
#jjba #giornogiovanna #fugio https://t.co/dFeO5I1z8N",🇫🇷
953WDAE,23517017,Fri Jul 24 23:59:59 +0000 2020,1286813408810225667,RT @stevecarney: Hello there @953WDAE! #Rays https://t.co/livFicAcoH,"Tampa, FL"
dinossaurisa,1022180577947148288,Fri Jul 24 23:59:58 +0000 2020,1286813408008994822,hi hello I fucking love @todoyamas more than anything,Brazil
honeydippedjeon,2809819225,Fri Jul 24 23:59:58 +0000 2020,1286813407232970753,UM HELLO OMG????? I LOVE U @kevindoann https://t.co/SPIy8DrMlT,she/her • 100919 - met yukhei♡
OHG0WGY,1284218260205035520,Fri Jul 24 23:59:58 +0000 2020,1286813404859072512,RT @ivywasfound: DREAM UNFOLLOWED GEORGE HELLO?? THIS A DIVORCE OR SOMETHIN??!?!?,
darkforvae,1281394700612771841,Fri Jul 24 23:59:57 +0000 2020,1286813401365336064,@suhweeties IM NOT HIM? HELLO,fucking yo bitch
yrobsessionn,1161540850175885312,Fri Jul 24 23:59:57 +0000 2020,1286813400819892224,:0 i’m done hi hello everyone i’m back,𝑡/𝑡 𝑠𝑒𝑣𝑒𝑛𝑡𝑒𝑒𝑛 
huriah_syihab,952848786744737792,Fri Jul 24 23:59:56 +0000 2020,1286813398936588288,"RT @bbsupportteam: 📢ANNOUNCEMENT

Hello VIPs! The advertisement project will take place in several countries and we need around $4000. We w…",Indonesia
namjoonscheekz,1212933316577386496,Fri Jul 24 23:59:56 +0000 2020,1286813398202810369,@whipped4yoon the way i didn't even notice that HELLO ??,she/her
teenontrovo,1254170547598036992,Fri Jul 24 23:59:56 +0000 2020,1286813397951156224,"@THETAtv 
 #StreamKeyPlz hello, im teen and i would like a stream key, currently im streaming on trovo and im findi… https://t.co/uAaBL8fpsv",
mommy97giraffe,2381808114,Fri Jul 24 23:59:55 +0000 2020,1286813395170320384,"RT @luckydoghot: @laura_devereaux @michaelsimpsonj @FredTJoseph @astroff_bonita @elonmusk “Hello, struggling American. I don’t believe you…",Lenne Lenape land in east Pa
namalamart1,1286742596581298177,Fri Jul 24 23:59:55 +0000 2020,1286813392829898752,Oh hell yes. Say hello to my first ever #digitalportrait  https://t.co/EkNPL1ALan,
SunaFruitSnacks,1272747924674555904,Fri Jul 24 23:59:55 +0000 2020,1286813391802204160,"@ushilover aw guess i was wrong, but hello bb",she/her MINOR
emilymbroome,2673076329,Fri Jul 24 23:59:54 +0000 2020,1286813390225256451,"RT @libramoonstone: hello beautiful beings ✨

where do you put yourself second in life? in what areas do you feel that your stability is le…",
